Order_ID,Date,Customer_ID,Product_ID,Channel,Quantity,Unit_Price,Total_Sales,Year,Month,Month_Name,Day_of_Week,Quarter,Customer_Name,Gender,Age,City,Loyalty_Status,Product_Name,Category,Brand,Price,Supplier,Return_Count,Total_Refund,Has_Return,Net_Sales
O000001,2025-08-17,C00324,P0023,Online,4,6427,25708,2025,8,August,Sunday,3,Marissa Parks,Male,42,Bangalore,Silver,Every Clothin,Clothing,Adidas,6427,Garcia-Reed,0,0.0,Not Returned,25708.0
O000002,2025-02-22,C00414,P0128,Marketplace,1,4533,4533,2025,2,February,Saturday,1,Chad Rodriguez,Male,30,Chennai,Platinum,Watch Electronic,Electronics,Samsung,4533,"Cook, Butler and Jefferson",1,4533.0,Returned,0.0
O000003,2025-10-09,C00001,P0010,Online,5,11638,58190,2025,10,October,Thursday,4,Logan Terry,Female,60,Chennai,Platinum,Son Electronic,Electronics,Samsung,11638,Cisneros and Sons,0,0.0,Not Returned,58190.0
O000004,2025-11-23,C00312,P0155,Store,5,6467,32335,2025,11,November,Sunday,4,Ashley Stephenson,Female,46,Chennai,Silver,Heavy Clothin,Clothing,Adidas,6467,Holden-Quinn,0,0.0,Not Returned,32335.0
O000005,2026-05-02,C00350,P0168,Mobile App,4,6511,26044,2026,5,May,Saturday,2,Matthew Robinson,Male,19,Delhi,Platinum,Deal Beaut,Beauty,Adidas,6511,"Leblanc, Kim and Oconnor",0,0.0,Not Returned,26044.0
O000006,2026-03-09,C00466,P0014,Mobile App,2,6081,12162,2026,3,March,Monday,1,Laura Holland,Male,57,Hyderabad,Gold,Far Hom,Home,Adidas,6081,"Russell, Smith and Rosario",0,0.0,Not Returned,12162.0
O000007,2025-11-04,C00485,P0144,Mobile App,5,7241,36205,2025,11,November,Tuesday,4,Austin Harris,Male,31,Hyderabad,Platinum,Move Beaut,Beauty,Samsung,7241,"Garcia, Baker and Garcia",0,0.0,Not Returned,36205.0
O000008,2025-02-28,C00100,P0184,Store,4,11269,45076,2025,2,February,Friday,1,David Jordan,Female,60,Kolkata,Silver,Support Hom,Home,Zara,11269,"Crawford, Rich and Ballard",0,0.0,Not Returned,45076.0
O000009,2025-07-01,C00850,P0001,Mobile App,3,609,1827,2025,7,July,Tuesday,3,Randy Reid,Female,27,Kolkata,Gold,Majority Sport,Sports,Adidas,609,Paul PLC,0,0.0,Not Returned,1827.0
O000010,2025-07-11,C00719,P0141,Online,5,1432,7160,2025,7,July,Friday,3,Rachel Porter,Female,41,Chennai,Platinum,Today Electronic,Electronics,Adidas,1432,Peterson-Lopez,0,0.0,Not Returned,7160.0
O000011,2025-09-10,C00144,P0012,Marketplace,2,12709,25418,2025,9,September,Wednesday,3,Scott Carlson,Female,57,Hyderabad,Silver,Increase Clothin,Clothing,Apple,12709,Ramirez-Watts,0,0.0,Not Returned,25418.0
O000012,2025-11-09,C00201,P0028,Store,3,8951,26853,2025,11,November,Sunday,4,Michael Vargas,Female,59,Kolkata,Silver,Everyone Sport,Sports,Samsung,8951,"Riggs, Gibson and Rhodes",0,0.0,Not Returned,26853.0
